 Borrowing dependency, Net Income to Stockholder's Equity, Net Value Growth Rate, Net Value Per Share (A), Interest Expense Ratio, Interest-bearing debt interest rate, Persistent EPS in the Last Four Seasons, Total debt/Total net worth, Non-industry income and expenditure/revenue, Net profit before tax/Paid-in capital,Bankrupt?
0.377513794977666,0.84100437150983,0.000461331662654,0.174623909654039,0.632256407446473,0.0006770677067706,0.221423844190224,0.0104524024475875,0.303465793199028,0.177226453510293,0
0.37406924441323,0.840584630506906,0.0004546688426222,0.197463233744891,0.63182798865769,0.0004780478047804,0.220383851753805,0.0051651027275463,0.303515583174759,0.176909735314079,0
0.372163557997061,0.843206466606515,0.0005833835457092,0.212886098352366,0.630710195750743,0.0002740274027402,0.256783587028458,0.0052781805414968,0.304012274437512,0.205142900233768,0
0.370532988281818,0.844936105808303,0.0005391144717898,0.212254013737306,0.630663278585225,0.0005510551055105,0.279379786328827,0.0024539709462971,0.303532985496373,0.229560364980017,0
0.36963718146295,0.839382008118994,0.0004214545599916,0.172137710168134,0.630417391542582,0.0,0.208187576817623,0.0005425911233916,0.303697340756068,0.166405248472966,0
0.378954243395522,0.837842698257866,0.0004156900977168,0.183936622982597,0.629494458980014,0.0004890489048904,0.194478585610286,0.0093900181471653,0.303341559958611,0.150712615941483,0
0.378294410657529,0.837209527988762,0.0003830747202576,0.169525093759218,0.630106779359187,0.0003540354035403,0.194005861775551,0.0082373539791535,0.303422529093902,0.154038157001734,0
0.378604196536214,0.838184064477264,0.0004778265092497,0.166743921452952,0.629824591443953,0.0003550355035503,0.204500330906684,0.0137052134343738,0.303422529093902,0.159588266344921,0
0.37019076994652,0.842889133903722,0.000566439520235,0.208882895790316,0.630663621046287,0.0003400340034003,0.25073272194384,0.0029710283697644,0.303828824963824,0.208739914033632,0
0.378652286040847,0.84138014462714,0.0004676451213359,0.174581770679702,0.631511212175176,0.0003960396039603,0.224638366266427,0.0145013177212997,0.303498180853144,0.178802503581932,0
0.36963718146295,0.838114116270654,0.0004220784195451,0.165985419914879,0.630603347899344,690000000.0,0.201285808830481,0.0088127741453049,0.303541928356092,0.158238443556293,0
0.377087699599403,0.841044218930968,0.0004521234956437,0.191184526568623,0.632976603060232,0.0006820682068206,0.22454382149948,0.0110642993279165,0.303501564637902,0.178538571751753,0
